Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Strings and Regular Expressions,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_9,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_9,Chapter
"Input/Output and Functions to Files, Strings, and Arrays",Programming in HTML and PHP,,,,10.1007/978-3-319-56973-4_8,David R. Brooks,2017,https://link.springer.com/chapter/10.1007/978-3-319-56973-4_8,Chapter
Strings and Patterns,PHP 7 Zend Certification Study Guide,,,,10.1007/978-1-4842-3246-0_3,Andrew Beak,2017,https://link.springer.com/chapter/10.1007/978-1-4842-3246-0_3,Chapter
Proxy,Design Patterns in PHP and Laravel,,,,10.1007/978-1-4842-2451-9_15,Kelt Dockins,2017,https://link.springer.com/chapter/10.1007/978-1-4842-2451-9_15,Chapter
Completing a Site: The Other 90%,The Definitive Guide to Drupal 7,,,,10.1007/978-1-4302-3136-3_33,Benjamin Melançon,2011,https://link.springer.com/chapter/10.1007/978-1-4302-3136-3_33,Chapter
Strings and Regular Expressions,Beginning PHP and MySQL,,,,10.1007/978-1-4302-3115-8_9,,2010,https://link.springer.com/chapter/10.1007/978-1-4302-3115-8_9,Chapter
Strings and Regular Expressions,Beginning PHP and MySQL,,,,10.1007/978-1-4302-0299-8_9,,2008,https://link.springer.com/chapter/10.1007/978-1-4302-0299-8_9,Chapter
PHP and Ajax,Beginning Ajax with PHP,,,,10.1007/978-1-4302-0253-0_3,,2007,https://link.springer.com/chapter/10.1007/978-1-4302-0253-0_3,Chapter
Strings and Regular Expressions,Beginning PHP and Oracle,,,,10.1007/978-1-4302-0367-4_9,,2007,https://link.springer.com/chapter/10.1007/978-1-4302-0367-4_9,Chapter
Strings and Regular Expressions,Beginning PHP and PostgreSQL 8,,,,10.1007/978-1-4302-0136-6_9,,2006,https://link.springer.com/chapter/10.1007/978-1-4302-0136-6_9,Chapter
Strings and Regular Expressions,Beginning PHP and MySQL 5,,,,10.1007/978-1-4302-0117-5_9,,2006,https://link.springer.com/chapter/10.1007/978-1-4302-0117-5_9,Chapter
Working with Strings,PHP 5 Recipes,,,,10.1007/978-1-4302-0070-3_6,,2005,https://link.springer.com/chapter/10.1007/978-1-4302-0070-3_6,Chapter
PHP,The Handbook of Data Communications and Networks,,,,10.1007/978-1-4020-7870-5_93,W. J. Buchanan,2004,https://link.springer.com/chapter/10.1007/978-1-4020-7870-5_93,Chapter
PHP,The Complete Handbook of the Internet,,,,10.1007/978-0-306-48331-8_48,W. J. Buchanan,2002,https://link.springer.com/chapter/10.1007/978-0-306-48331-8_48,Chapter
Strings and Regular Expressions,A Programmer’s Introduction to PHP 4.0,,,,10.1007/978-1-4302-0856-3_8,W. J. Gilmore,2001,https://link.springer.com/chapter/10.1007/978-1-4302-0856-3_8,Chapter